sumlev,logrecno,place_id_2010,name,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
160,0386207,3730120,Havelock,20735,14513,3611,155,599,68,824,965,2413,18322,13280,3475,130,580,60,46,751
160,0386214,3730260,Haw River,2298,1744,213,10,21,0,264,46,369,1929,1662,209,10,21,0,0,27
160,0386221,3730280,Hayesville,311,303,0,3,0,0,3,2,7,304,299,0,3,0,0,0,2
160,0386226,3730340,Hays,1851,1781,10,0,3,3,33,21,55,1796,1767,10,0,3,2,0,14
160,0386231,3730620,Hemby Bridge,1520,1342,110,14,18,0,16,20,67,1453,1299,105,14,18,0,2,15
160,0386236,3730660,Henderson,15368,4611,9842,48,127,0,528,212,982,14386,4290,9748,37,127,0,16,168
160,0386243,3730720,Hendersonville,13137,10475,1203,59,154,41,912,293,1774,11363,9738,1183,32,150,35,26,199
160,0386249,3730800,Henrietta,461,353,66,0,2,0,29,11,50,411,334,66,0,1,0,0,10
160,0386254,3730900,Hertford,2143,997,1031,3,8,0,74,30,102,2041,982,1024,3,8,0,2,22
160,0386259,3731060,Hickory,40010,29948,5707,131,1262,15,2050,897,4544,35466,27750,5638,76,1255,9,50,688
160,0386270,3731260,Hiddenite,536,503,2,0,0,0,26,5,37,499,493,2,0,0,0,0,4
160,0386275,3731360,Highlands,924,871,0,2,6,0,28,17,53,871,847,0,2,6,0,2,14
160,0386282,3731400,High Point,104371,55989,34394,579,6345,45,4573,2446,8847,95524,52612,33983,436,6302,38,279,1874
160,0386302,3731440,High Shoals,696,598,51,10,2,0,13,22,29,667,585,50,8,2,0,0,22
160,0386307,3731490,Hightsville,739,461,245,11,2,0,5,15,19,720,448,245,11,2,0,1,13
160,0386312,3731500,Hildebran,2023,1858,33,8,74,1,30,19,48,1975,1845,33,8,74,1,0,14
160,0386317,3731620,Hillsborough,6087,3830,1793,38,101,2,198,125,404,5683,3649,1777,31,101,1,13,111
160,0386322,3731660,Hillsdale,984,877,64,0,24,0,6,13,33,951,856,64,0,23,0,1,7
160,0386327,3731860,Hobgood,348,166,174,0,0,0,6,2,14,334,160,172,0,0,0,0,2
160,0386332,3731880,Hobucken,129,127,0,0,0,0,1,1,1,128,127,0,0,0,0,0,1
160,0386337,3731920,Hoffman,588,219,331,24,4,0,3,7,16,572,206,329,24,4,0,2,7
160,0386342,3731960,Holden Beach,575,557,5,1,0,0,8,4,14,561,551,5,1,0,0,0,4
160,0386347,3732100,Hollister,674,22,160,475,0,0,3,14,22,652,22,160,458,0,0,0,12
160,0386352,3732180,Holly Ridge,1268,1083,108,2,13,1,22,39,71,1197,1037,107,2,13,1,1,36
160,0386357,3732260,Holly Springs,24661,19674,3101,103,724,13,432,614,1544,23117,18703,3053,75,717,13,46,510
160,0386362,3732540,Hookerton,409,197,153,1,5,0,49,4,55,354,190,153,1,5,0,1,4
160,0386367,3732580,Hoopers Creek,1056,1018,5,5,3,0,4,21,22,1034,1004,4,5,3,0,0,18
160,0386372,3732640,Hope Mills,15176,9392,4025,294,275,39,446,705,1519,13657,8633,3885,269,267,32,36,535
160,0386380,3732740,Horse Shoe,2351,2261,18,17,5,3,24,23,63,2288,2227,18,14,4,3,0,22
160,0386385,3732840,Hot Springs,560,548,1,0,0,0,2,9,13,547,540,1,0,0,0,0,6
160,0386390,3732980,Hudson,3776,3530,71,12,8,3,111,41,218,3558,3446,67,5,8,3,3,26
160,0386395,3733120,Huntersville,46773,38730,4404,163,1250,19,1239,968,3441,43332,36791,4320,107,1234,17,91,772
160,0386402,3733320,Icard,2664,2478,14,0,72,0,83,17,107,2557,2456,14,0,72,0,0,15
160,0386407,3733460,Indian Beach,112,109,1,0,1,0,0,1,0,112,109,1,0,1,0,0,1
160,0386412,3733560,Indian Trail,33518,27160,3341,179,589,9,1481,759,3658,29860,25220,3241,149,586,8,107,549
160,0386418,3733640,Ingold,471,167,118,0,5,0,177,4,195,276,155,118,0,0,0,0,3
160,0386423,3733820,Iron Station,755,670,49,5,4,3,10,14,25,730,655,48,5,3,0,5,14
160,0386428,3733940,Ivanhoe,264,69,187,0,0,0,7,1,12,252,66,185,0,0,0,0,1
160,0386433,3733993,JAARS,597,580,9,0,1,2,3,2,7,590,574,9,0,1,2,2,2
160,0386438,3734000,Jackson,513,289,219,1,0,0,3,1,5,508,287,219,1,0,0,0,1
160,0386443,3734038,Jackson Heights,1141,858,230,2,0,0,37,14,78,1063,817,230,2,0,0,0,14
