place_id_2010,place,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
1322304,Demorest,GA,1823,1607,59,4,26,0,83,44,124,1699,1569,57,4,26,0,3,40
1322388,Denton,GA,250,196,50,0,0,0,0,4,3,247,193,50,0,0,0,0,4
1322472,De Soto,GA,195,58,131,0,4,2,0,0,7,188,54,130,0,4,0,0,0
1322724,Dewy Rose,GA,154,107,42,0,5,0,0,0,2,152,105,42,0,5,0,0,0
1322752,Dexter,GA,575,415,152,0,1,0,2,5,1,574,414,152,0,1,0,2,5
1322976,Dillard,GA,339,310,0,1,2,2,21,3,84,255,247,0,1,2,2,0,3
1323200,Dock Junction,GA,7721,4727,2158,18,119,0,544,155,867,6854,4461,2127,14,115,0,7,130
1323284,Doerun,GA,774,404,347,3,7,0,12,1,13,761,404,347,3,7,0,0,0
1323368,Donalsonville,GA,2650,924,1648,1,23,0,20,34,56,2594,903,1627,1,23,0,8,32
1323480,Dooling,GA,154,36,101,0,0,0,11,6,15,139,36,101,0,0,0,0,2
1323536,Doraville,GA,8330,3664,797,96,1472,14,2003,284,4119,4211,1870,731,16,1464,8,22,100
1323872,Douglas,GA,11589,4819,6025,19,105,13,450,158,728,10861,4587,6001,13,105,9,16,130
1323900,Douglasville,GA,30961,11144,17297,70,559,18,1018,855,2243,28718,10331,17031,65,554,15,75,647
1324264,Druid Hills,GA,14568,11404,1118,22,1599,6,99,320,419,14149,11103,1097,19,1594,6,33,297
1324376,Dublin,GA,16201,6171,9329,26,317,0,168,190,324,15877,6057,9302,25,317,0,15,161
1324488,Dudley,GA,571,474,89,0,0,0,3,5,10,561,468,89,0,0,0,0,4
1324600,Duluth,GA,26600,12949,5378,111,5920,16,1395,831,3732,22868,11028,5196,56,5905,15,64,604
1324768,Dunwoody,GA,46267,32287,5851,151,5153,57,1684,1084,4755,41512,29667,5697,99,5139,16,111,783
1324796,Du Pont,GA,120,70,49,0,0,0,0,1,3,117,68,49,0,0,0,0,0
1324876,Dutch Island,GA,1257,1185,35,0,22,0,3,12,26,1231,1166,35,0,22,0,0,8
1324964,Eagle Grove,GA,164,147,8,0,6,0,0,3,0,164,147,8,0,6,0,0,3
1325300,East Dublin,GA,2441,1062,1312,3,5,1,17,41,48,2393,1046,1301,3,3,1,0,39
1325356,East Ellijay,GA,546,410,12,4,0,12,106,2,144,402,383,4,2,0,12,0,1
1325440,East Griffin,GA,1451,989,395,4,0,0,19,44,59,1392,967,392,1,0,0,1,31
1325552,Eastman,GA,4962,2917,1809,17,50,0,123,46,235,4727,2836,1787,13,50,0,1,40
1325692,East Newnan,GA,1321,705,247,9,1,0,326,33,432,889,618,242,0,1,0,4,24
1325720,East Point,GA,33712,5437,25165,131,268,13,2010,688,3890,29822,3978,24924,94,266,11,38,511
1326084,Eatonton,GA,6480,2250,3715,12,30,14,369,90,525,5955,2141,3709,5,30,6,11,53
1326224,Edge Hill,GA,24,24,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0
1326448,Edison,GA,1531,476,975,1,16,0,47,16,66,1465,459,975,1,16,0,0,14
1326616,Elberton,GA,4653,2359,2065,14,47,1,116,51,271,4382,2218,2057,7,47,1,5,47
1326980,Ellaville,GA,1812,1073,654,0,12,0,49,24,77,1735,1053,654,0,12,0,0,16
1327008,Ellenton,GA,281,209,41,0,2,0,22,7,55,226,182,41,0,2,0,0,1
1327092,Ellijay,GA,1619,1219,23,7,2,24,297,47,497,1122,1076,18,7,2,3,0,16
1327344,Emerson,GA,1470,1230,124,3,9,0,83,21,178,1292,1135,124,3,9,0,2,19
1327512,Empire,GA,393,328,61,1,1,0,2,0,3,390,327,61,1,1,0,0,0
1327596,Enigma,GA,1278,1040,81,1,14,0,126,16,164,1114,1008,76,1,14,0,2,13
1327708,Ephesus,GA,427,406,10,0,1,0,2,8,8,419,403,10,0,1,0,0,5
1327736,Epworth,GA,480,473,0,0,2,0,1,4,2,478,472,0,0,2,0,0,4
1327932,Eton,GA,910,667,15,1,5,0,213,9,324,586,562,15,1,5,0,0,3
1327988,Euharlee,GA,4136,3491,459,15,14,0,63,94,195,3941,3379,458,13,13,0,3,75
1328044,Evans,GA,29011,23180,3313,69,1469,23,283,674,1104,27907,22500,3276,60,1458,23,49,541
1328296,Experiment,GA,2894,1273,1508,13,4,6,50,40,112,2782,1220,1504,10,4,5,4,35
1328380,Fairburn,GA,12950,2603,9050,57,222,5,754,259,1545,11405,1986,8966,33,212,4,35,169
1328492,Fairmount,GA,720,680,28,1,4,0,0,7,5,715,676,28,1,4,0,0,6
1328520,Fair Oaks,GA,8225,4107,1814,75,49,6,1820,354,4333,3892,1954,1736,19,48,0,20,115
1328632,Fairview,GA,6769,6285,262,18,31,1,32,140,90,6679,6236,262,18,30,1,4,128
1328744,Fargo,GA,321,243,62,9,0,0,1,6,5,316,243,62,9,0,0,0,2
1328968,Fayetteville,GA,15945,8762,5402,57,1055,13,206,450,766,15179,8345,5323,43,1053,9,37,369
1329528,Fitzgerald,GA,9053,3911,4652,33,79,2,247,129,388,8665,3807,4638,28,79,2,12,99
1330088,Flemington,GA,743,279,373,0,40,0,17,34,50,693,258,365,0,39,0,0,31
1330312,Flovilla,GA,653,329,318,0,2,0,0,4,9,644,322,316,0,2,0,0,4
1330340,Flowery Branch,GA,5679,4654,482,19,156,1,252,115,783,4896,4186,457,11,153,1,9,79
1330424,Folkston,GA,2502,1145,1253,3,28,0,10,63,26,2476,1137,1250,2,28,0,1,58
1330536,Forest Park,GA,18468,5855,6964,85,1464,11,3568,521,6343,12125,3555,6808,23,1448,7,34,250
1330732,Forsyth,GA,3788,1561,2079,11,50,0,45,42,79,3709,1532,2077,10,50,0,4,36
1330816,Fort Gaines,GA,1107,268,825,0,1,0,0,13,3,1104,267,823,0,1,0,0,13
1330956,Fort Oglethorpe,GA,9263,8206,438,26,250,8,110,225,246,9017,8111,425,26,243,8,6,198
1331068,Fort Stewart,GA,4924,3212,1184,39,83,20,150,236,582,4342,2891,1141,28,80,20,7,175
1331096,Fort Valley,GA,9815,1337,8006,23,25,2,274,148,570,9245,1116,7963,22,24,2,4,114
1331292,Franklin,GA,993,657,272,6,14,0,15,29,29,964,649,272,5,14,0,2,22
1331320,Franklin Springs,GA,952,800,109,0,8,0,19,16,46,906,777,107,0,8,0,0,14
1331684,Funston,GA,449,297,107,0,0,0,44,1,63,386,278,107,0,0,0,0,1
1331908,Gainesville,GA,33804,18333,5143,219,1073,72,7899,1065,14058,19746,13190,4940,48,1070,13,44,441
1332048,Garden City,GA,8778,4315,3285,37,120,18,782,221,1470,7308,3769,3248,25,116,11,7,132
1332188,Garfield,GA,201,166,34,0,0,0,0,1,0,201,166,34,0,0,0,0,1
1332384,Gay,GA,89,72,15,0,0,0,2,0,2,87,72,15,0,0,0,0,0
1332412,Geneva,GA,105,32,72,1,0,0,0,0,0,105,32,72,1,0,0,0,0
1332482,Georgetown,GA,11823,7341,3267,46,416,20,330,403,922,10901,6876,3216,35,409,20,28,317
1332528,Georgetown-Quitman County,GA,2513,1290,1204,4,2,0,2,11,34,2479,1265,1198,3,2,0,0,11
1332748,Gibson,GA,663,574,78,1,0,0,2,8,2,661,574,76,1,0,0,2,8
1332860,Gillsville,GA,235,231,1,0,0,0,0,3,4,231,227,1,0,0,0,0,3
1332916,Girard,GA,156,106,49,0,0,0,1,0,1,155,106,49,0,0,0,0,0
1333336,Glennville,GA,3569,2257,1122,20,38,6,79,47,177,3392,2188,1119,6,38,4,4,33
1333392,Glenwood,GA,747,407,304,4,6,0,16,10,18,729,407,302,4,6,0,0,10
1333896,Good Hope,GA,274,269,2,0,0,0,0,3,3,271,267,2,0,0,0,0,2
1333980,Gordon,GA,2017,966,1002,2,17,0,9,21,24,1993,953,998,2,17,0,3,20
1334260,Graham,GA,291,164,110,0,0,0,17,0,17,274,164,110,0,0,0,0,0
1334428,Grantville,GA,3041,2214,677,3,33,1,35,78,138,2903,2128,675,3,33,0,1,63
1334512,Gray,GA,3276,2275,921,3,21,0,11,45,43,3233,2257,915,3,21,0,0,37
1334596,Grayson,GA,2666,1675,635,10,239,1,48,58,129,2537,1609,632,10,239,1,6,40
1334876,Greensboro,GA,3359,976,2019,6,3,12,304,39,428,2931,871,2003,5,3,9,5,35
1335016,Greenville,GA,876,201,641,5,11,0,1,17,4,872,201,641,5,11,0,1,13
1335240,Gresham Park,GA,7432,621,6613,9,24,0,38,127,111,7321,599,6563,5,24,0,12,118
1335324,Griffin,GA,23643,10121,12331,69,259,12,433,418,952,22691,9719,12280,49,259,12,30,342
1335716,Grovetown,GA,11216,6458,3360,65,159,29,594,551,1552,9664,5767,3251,47,156,27,14,402
1335800,Gumbranch,GA,264,247,12,2,0,1,0,2,5,259,242,12,2,0,1,0,2
1335814,Gumlog,GA,2146,1957,114,6,7,0,21,41,29,2117,1951,113,6,7,0,0,40
1335884,Guyton,GA,1684,1043,601,2,6,0,8,24,37,1647,1015,601,2,6,0,0,23
1336024,Hagan,GA,996,613,258,0,17,0,88,20,126,870,584,257,0,14,0,1,14
1336052,Hahira,GA,2737,2088,509,13,33,5,38,51,134,2603,2014,507,7,33,5,0,37
1336220,Hamilton,GA,1016,664,332,1,2,0,3,14,24,992,644,331,1,1,0,2,13
1336276,Hampton,GA,6987,3681,2724,17,58,0,344,163,599,6388,3486,2674,10,58,0,24,136
1336416,Hannahs Mill,GA,3298,2830,343,6,22,4,42,51,96,3202,2800,328,5,22,0,2,45
1336472,Hapeville,GA,6373,2726,1837,37,366,3,1195,209,2240,4133,1843,1804,6,365,3,13,99
1336528,Haralson,GA,166,141,20,0,0,0,0,5,8,158,133,20,0,0,0,0,5
1336668,Hardwick,GA,3930,837,3000,4,12,1,18,58,53,3877,821,2987,4,12,1,1,51
1336696,Harlem,GA,2666,1884,637,8,28,7,40,62,113,2553,1831,629,8,27,6,1,51
1336920,Harrison,GA,489,115,355,0,4,0,4,11,12,477,108,355,0,4,0,0,10
1337144,Hartwell,GA,4469,2741,1543,6,48,0,52,79,137,4332,2670,1539,6,48,0,0,69
1337396,Hawkinsville,GA,4589,2312,2150,10,41,1,21,54,82,4507,2263,2145,10,40,1,5,43
1337564,Hazlehurst,GA,4226,2677,1251,4,28,0,208,58,336,3890,2567,1246,4,28,0,2,43
1337788,Helen,GA,510,472,3,2,24,2,5,2,18,492,459,3,2,24,2,0,2
1337816,Helena,GA,2883,1181,1557,1,6,0,113,25,211,2672,1087,1554,1,6,0,0,24
1337910,Henderson,GA,1647,1122,347,4,97,1,32,44,112,1535,1065,338,4,94,0,4,30
1338040,Hephzibah,GA,4011,2489,1353,10,15,4,23,117,124,3887,2415,1346,10,15,4,4,93
1338105,Heron Bay,GA,3384,1494,1642,6,89,5,50,98,235,3149,1355,1618,5,89,5,1,76
1338124,Hiawassee,GA,880,852,3,1,11,0,8,5,24,856,838,3,1,11,0,0,3
