geocode,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
45037970502,Edgefield,SC,5049.209517192983,4388.670308750259,510.5543168388692,12,25.988120862575776,6.996770741279085,36,69,69.88354506957047,4979.325972123413,4363.786763680689,509.5543168388692,12,25.988120862575776,6.996770741279085,0,61
45039960100,Fairfield,SC,2209,406,1784,9,0,0,2,8,9,2200,402,1780,9,0,0,1,8
45039960200,Fairfield,SC,4043,1891,2081,2,5,1,17,46,51,3992,1872,2074,2,5,0,1,38
45039960301,Fairfield,SC,3399,1408,1927,8,6,0,27,23,43,3356,1392,1916,8,6,0,12,22
45039960302,Fairfield,SC,2757,1606,1099,7,3,0,7,35,30,2727,1585,1098,7,3,0,1,33
45039960401,Fairfield,SC,4001.098499207447,1294.1993592121682,2533.0993423493305,10,23.599932548649285,1,70.39989882297392,68.79996627432465,129.9998313716232,3871.0986678358236,1246.599426663519,2521.0993423493305,10,23.599932548649285,0,4,65.79996627432465
45039960402,Fairfield,SC,2271.901500792553,884.8006407878318,1288.9006576506695,4,12.400067451350713,0,43.60010117702607,38.200033725675354,72.00016862837678,2199.9013321641764,870.4005733364811,1273.9006576506695,1,11.400067451350713,0,6,37.200033725675354
45039960501,Fairfield,SC,2694,1138,1513,5,1,0,11,26,24,2670,1127,1511,5,1,0,5,21
45039960502,Fairfield,SC,2581,608,1941,5,4,0,4,19,15,2566,603,1938,5,4,0,0,16
45041000101,Florence,SC,2698.657488072967,2047.6980950850364,510.87582751127184,16.018802741294007,90,0,15.117298902626533,18.947463832738638,72.35705970570302,2626.3004283672644,1992.4583342819599,509.87582751127184,14.018802741294007,90,0,5.999999999999999,13.94746383273864
45041000102,Florence,SC,5467.958881657294,4424.405411694952,735.4739133490325,7,204.08720421423962,3,23,70.99235239907036,96,5371.958881657294,4365.405411694952,729.4739133490325,7,203.08720421423962,3,4,59.992352399070356
45041000201,Florence,SC,2479,1756,589,4,100,0,14,16,35,2444,1728,588,4,100,0,8,16
45041000202,Florence,SC,7780.580618194516,5315.328873315021,1886.7661702748421,11.976617027484215,377.6492554122632,2,102.90646810993685,83.95323405496843,197.92985108245264,7582.6507671120635,5242.328873315022,1867.7661702748421,11.976617027484215,377.6492554122632,2,9.976617027484215,70.95323405496843
45041000300,Florence,SC,4315,844,3396,22,4,0,7.000000000000001,42,28,4287,836,3387,22,3,0,1,38
45041000400,Florence,SC,4800,2818,1742,35,52,1,74,78,130,4670,2785,1727,35,52,1,2,68
45041000501,Florence,SC,2823,1320,1430,17,5,0,23,28,48,2775,1308,1418,17,5,0,3,24
45041000502,Florence,SC,3195,1360,1680,13,5,0,72,65,160,3035,1312,1662,9,3,0,1,48
45041000600,Florence,SC,4525,2993,1314,11,98,1,36,72,88,4437,2956,1306,10,98,1,2,64
45041000700,Florence,SC,3019,168,2796,6,1,3,24,21,31,2988,167,2789,6,1,3,3,19
45041000800,Florence,SC,4078,19,4010,9,0,0,1,39,13,4065,17,4002,9,0,0,0,37
45041000900,Florence,SC,3608,72,3493,7,1,0,0,35,20,3588,66,3484,7,1,0,0,30
45041001000,Florence,SC,1704,1021,635,10,12,1,11,14,42,1662,1000,628,10,12,1,0,11
45041001100,Florence,SC,4676,2773,1672,29,73,5,43,81,129,4547,2711,1658,17,72,5,14,70
45041001200,Florence,SC,3295,2860,362,6,34,0,9,24,28,3267,2845,361,6,34,0,1,20
45041001300,Florence,SC,3779,2624,930,13,65,0,86,61,124,3655,2597,925,10,64,0,4,55
45041001400,Florence,SC,7856,5738,1707,9,275,0,35,92,106,7750,5680,1704,9,273,0,6,78
45041001503,Florence,SC,3370.4380350695005,2107.2440773809676,1140.1902903939647,9,32,0,48,34.00366729456837,134.0012224315228,3236.4368126379777,2034.2440773809676,1132.1902903939647,9,31,0,3,27.002444863045582
45041001504,Florence,SC,5943.419381805484,3285.6711266849784,2435.233829725158,36.02338297251578,63.35074458773679,1,49.09353189006314,73.04676594503157,118.07014891754736,5825.3492328879365,3239.6711266849784,2414.233829725158,31.023382972515787,63.35074458773679,1,11.023382972515787,65.04676594503157
45041001505,Florence,SC,3875,2683,1098,7,8,1,44,34,70,3805,2666,1090,7,8,1,3,30
45041001506,Florence,SC,1971,1256,667,4,3,0,28,13,39,1932,1250,665,4,3,0,2,8
45041001601,Florence,SC,6084,2618,3294,18,37,0,38,79,97,5987,2581,3279,15,35,0,8,69
45041001602,Florence,SC,5221,3541,1487,24,2,0,101,66,161,5060,3492,1484,21,2,0,4,57
45041001700,Florence,SC,2488,1402,1017,11,6,0,28,24,39,2449,1398,1014,10,6,0,0,21
45041001800,Florence,SC,3852,2479,1191,18,9,0,97,58,158,3694,2442,1179,18,9,0,5,41
45041001901,Florence,SC,2916,1764,1107,12,1,0,11,21,13,2903,1761,1106,12,1,0,3,20
45041001902,Florence,SC,3639.8225032349615,2498.8284514867764,1015.9946402279123,13,26,4,26.99941152027269,55,75.99456219214427,3563.827941042817,2472.8333008149048,995.9946402279123,13,26,4,0,52
45041002000,Florence,SC,3816,2370,1362,10,1,0,31,42,52,3764,2355,1358,10,1,0,4,36
45041002202,Florence,SC,3394,1154,2136,12,18,0,46,28,71,3323,1141,2126,12,18,0,0,26
45041002203,Florence,SC,4595,806,3669,6,32,0,59,23,98,4497,790,3643,6,32,0,5,21
45041002204,Florence,SC,1116,268,789,9,0,0,41,9,70,1046,249,784,7,0,0,4,2
45041002300,Florence,SC,4006,3123,600,22,3,1,192,65,281,3725,3063,595,19,3,1,1,43
45041002400,Florence,SC,3879,2554,1211,7,9,0,65,33,93,3786,2532,1204,6,9,0,3,32
45041002500,Florence,SC,2981.51475672195,1919.2075708347145,966.3071858872355,14,6,0,40,36,51,2930.51475672195,1911.2075708347145,966.3071858872355,14,6,0,0,33
45041002600,Florence,SC,3695,1178,2442,6,18,0,27,24,61,3634,1163,2433,6,18,0,0,14
45041980100,Florence,SC,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0
45043920100,Georgetown,SC,3592,2040,1492,7,1,1,24,27,48,3544,2023,1486,7,1,0,2,25
45043920202,Georgetown,SC,2325,1369,829,4,3,0,78,42,115,2210,1350,824,4,3,0,5,24
45043920203,Georgetown,SC,2581.5788319644457,2107.5788319644457,421,9,6,0,20,18,46,2535.5788319644457,2091.5788319644457,417,9,6,0,0,12
