county_id_2010,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
13239,Quitman,GA,2513,1290,1204,4,2,0,2,11,34,2479,1265,1198,3,2,0,0,11
13241,Rabun,GA,16276,15185,156,68,116,8,491,252,1301,14975,14468,144,53,114,7,10,179
13243,Randolph,GA,7719,2827,4769,5,23,0,35,60,119,7600,2781,4747,5,22,0,4,41
13245,Richmond,GA,200549,79624,108633,685,3331,400,2646,5230,8207,192342,76236,107365,570,3278,374,310,4209
13247,Rockdale,GA,85215,38187,39559,253,1516,56,3816,1828,8063,77152,34826,38996,179,1498,52,230,1371
13249,Schley,GA,5010,3658,1169,2,36,0,96,49,161,4849,3612,1167,2,36,0,0,32
13251,Screven,GA,14593,7965,6318,46,57,1,41,165,180,14413,7898,6283,33,56,1,3,139
13253,Seminole,GA,8729,5594,2916,12,35,0,85,87,204,8525,5516,2887,12,33,0,10,67
13255,Spalding,GA,64073,40148,21030,213,574,34,1024,1050,2451,61622,38986,20937,153,567,30,79,870
13257,Stephens,GA,26175,22286,2845,77,178,15,257,517,633,25542,22006,2821,68,175,13,32,427
13259,Stewart,GA,6058,1696,2864,11,44,1,1382,60,1454,4604,1655,2833,11,44,1,9,51
13261,Sumter,GA,32819,13852,17001,106,421,21,1040,378,1717,31102,13413,16894,95,418,9,12,261
13263,Talbot,GA,6865,2679,4065,18,9,0,26,68,91,6774,2639,4039,18,9,0,3,66
13265,Taliaferro,GA,1717,640,1024,2,11,0,16,24,35,1682,625,1024,2,8,0,0,23
13267,Tattnall,GA,25520,15991,7465,87,99,17,1527,334,2502,23018,15196,7424,54,99,11,16,218
13269,Taylor,GA,8906,5208,3503,6,57,0,58,74,164,8742,5123,3485,5,57,0,4,68
13271,Telfair,GA,16500,9398,6017,26,96,4,674,285,2026,14474,8429,5830,8,90,4,3,110
13273,Terrell,GA,9315,3407,5700,18,29,1,74,86,157,9158,3366,5683,14,29,0,3,63
13275,Thomas,GA,44720,26645,16497,196,311,7,519,545,1275,43445,26081,16416,166,306,7,49,420
13277,Tift,GA,40118,24645,11618,85,512,8,2622,628,4037,36081,23555,11549,72,507,8,33,357
13279,Toombs,GA,27223,17728,6767,74,200,14,2019,421,3055,24168,16887,6716,37,199,14,42,273
13281,Towns,GA,10471,10232,41,31,44,1,61,61,206,10265,10102,39,30,43,0,1,50
13283,Treutlen,GA,6885,4488,2247,14,13,0,55,68,103,6782,4466,2239,10,13,0,2,52
13285,Troup,GA,67044,41216,22394,168,1060,54,1140,1012,2170,64874,40408,22319,134,1054,21,85,853
13287,Turner,GA,8930,4886,3712,29,40,0,198,65,282,8648,4820,3697,19,40,0,22,50
13289,Twiggs,GA,9023,5123,3724,28,14,1,30,103,124,8899,5059,3703,27,14,1,6,89
13291,Union,GA,21356,20668,99,72,75,4,184,254,519,20837,20345,95,66,75,4,13,239
13293,Upson,GA,27153,18693,7590,76,127,9,323,335,588,26565,18522,7544,61,124,3,19,292
13295,Walker,GA,68756,63918,2829,182,297,30,421,1079,1113,67643,63343,2809,170,291,30,53,947
13297,Walton,GA,83768,67057,13103,222,956,48,1131,1251,2683,81085,65677,12993,194,947,38,159,1077
13299,Ware,GA,36312,24103,10721,120,279,13,543,533,1207,35105,23583,10662,97,278,7,35,443
13301,Warren,GA,5834,2152,3602,10,22,0,12,36,54,5780,2133,3584,9,21,0,2,31
13303,Washington,GA,21187,9531,11173,25,104,1,143,210,407,20780,9339,11124,19,104,1,26,167
13305,Wayne,GA,30099,22558,5996,127,161,6,649,602,1719,28380,21749,5928,82,160,6,12,443
13307,Webster,GA,2799,1512,1185,0,7,0,66,29,98,2701,1492,1177,0,7,0,1,24
13309,Wheeler,GA,7421,4552,2614,6,16,2,174,57,356,7065,4405,2582,6,16,0,2,54
13311,White,GA,27144,25824,457,131,124,9,230,369,647,26497,25453,454,120,124,9,12,325
13313,Whitfield,GA,102599,78623,3845,658,1330,70,15429,2644,32471,70128,63818,3631,180,1292,29,96,1082
13315,Wilcox,GA,9255,5706,3252,16,42,1,149,89,338,8917,5544,3233,15,41,1,12,71
13317,Wilkes,GA,10593,5616,4535,18,52,1,217,154,361,10232,5495,4516,14,48,1,14,144
13319,Wilkinson,GA,9563,5598,3672,29,31,1,127,105,214,9349,5529,3664,20,31,1,14,90
13321,Worth,GA,21679,15232,5978,58,74,6,98,233,335,21344,15044,5951,48,74,4,12,211
