place_id_2010,place,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
2856800,Petal,MS,10454,8997,1039,25,78,0,139,176,361,10093,8811,1037,23,78,0,5,139
2856960,Philadelphia,MS,7477,3537,3504,166,80,4,51,135,160,7317,3472,3472,163,80,1,3,126
2857160,Picayune,MS,10878,6449,3996,32,66,4,122,209,333,10545,6269,3986,32,64,4,8,182
2857200,Pickens,MS,1157,138,1011,0,6,0,0,2,10,1147,138,1003,0,6,0,0,0
2858360,Pittsboro,MS,202,160,39,1,0,0,0,2,0,202,160,39,1,0,0,0,2
2858440,Plantersville,MS,1155,444,690,2,1,0,2,16,9,1146,439,689,2,1,0,0,15
2858960,Polkville,MS,833,750,76,1,4,0,0,2,2,831,749,76,1,4,0,0,1
2859160,Pontotoc,MS,5625,3942,1149,20,14,2,416,82,602,5023,3779,1132,10,14,2,19,67
2859240,Pope,MS,215,186,25,0,1,0,2,1,2,213,186,25,0,1,0,0,1
2859480,Poplarville,MS,2894,1913,857,10,29,4,12,69,50,2844,1881,855,10,28,4,6,60
2859560,Port Gibson,MS,1567,228,1322,0,9,0,7,1,7,1560,225,1320,0,9,0,5,1
2859720,Potts Camp,MS,523,339,167,0,0,0,14,3,18,505,336,166,0,0,0,0,3
2859920,Prentiss,MS,1081,652,403,7,4,0,5,10,7,1074,649,402,7,4,0,2,10
2860360,Puckett,MS,316,311,1,0,1,0,0,3,2,314,311,1,0,1,0,0,1
2860480,Purvis,MS,2175,1512,590,16,13,2,12,30,52,2123,1489,586,5,13,2,2,26
2860720,Quitman,MS,2323,1331,942,16,8,0,12,14,22,2301,1323,939,15,8,0,3,13
2860840,Raleigh,MS,1462,1000,451,6,0,0,1,4,10,1452,990,451,6,0,0,1,4
2861080,Rawls Springs,MS,1254,469,739,0,8,11,0,27,14,1240,461,738,0,8,11,0,22
2861160,Raymond,MS,1933,862,1037,4,7,2,2,19,24,1909,849,1031,4,7,2,0,16
2861400,Redwater,MS,633,44,105,467,1,0,0,16,20,613,43,105,448,1,0,0,16
2861890,Renova,MS,668,20,637,0,1,0,7,3,14,654,19,631,0,1,0,0,3
2862400,Richland,MS,6912,5446,999,16,116,10,253,72,371,6541,5347,999,11,116,10,6,52
2862480,Richton,MS,1068,716,331,2,1,0,5,13,11,1057,713,331,2,1,0,0,10
2862520,Ridgeland,MS,24047,14302,7864,44,960,9,567,301,1133,22914,13823,7823,37,953,9,20,249
